ticker,close,date,return_1d,return_1w,return_1m,return_3m,return_6m,return_1y,volume
COST,952.54,2026-06-26,1.0931397520801447,0.11456198433968344,-5.096195040301297,-3.0428901919558213,9.374863645988004,-2.544280382399167,8238500
CRM,158.37,2026-06-26,5.446434516279384,4.341810515219398,-10.55220753107826,-11.228673189007752,-40.17743922270333,-41.00966335987531,20231900
CRON,2.81,2026-06-26,2.9304029304029333,3.690036900369007,3.308823529411759,12.400000000000002,5.639097744360899,47.12041884816755,1285100
CRSP,54.92,2026-06-26,1.7413856984068263,1.534479571085225,2.5966747618158053,20.04371584699454,-0.2904865649963627,17.601713062098497,3391300
CRWD,701.09,2026-06-26,3.3065645030575492,2.3698274099816046,8.635490268997152,89.69911791763624,45.69920405660966,38.76924904002217,3328200
CSCO,113.77,2026-06-26,-4.370849794065734,-4.82683620545425,-4.93022478482494,43.12618176282845,47.13223407694794,68.80147539937713,51631500
CTVA,82.62,2026-06-26,1.2251899044351873,5.127878864995548,3.6555454211273206,1.0005928986632278,23.067664872240233,12.277249519947492,6394900
CWST,94.35,2026-06-26,2.1878046138849734,8.473212232697161,9.403988868274581,25.850340136054417,-6.704242064669239,-19.0198266243241,2555400
CXM,5.16,2026-06-26,5.091649694501018,2.3809523809523827,-2.2727272727272747,-12.24489795918367,-33.16062176165803,-38.57142857142858,7983842
DAR,52.5,2026-06-26,-1.0926902788244128,-2.1982116244411323,-10.623084780388155,-11.437246963562755,45.95496246872394,37.03993735317149,4001000
DE,613.24,2026-06-26,-2.7776016234383887,4.07304324214242,15.83898449158466,8.54045443483264,31.61049012266749,22.171190278580763,2319414
DELL,399.49,2026-06-26,-2.432531444620828,-2.444444444444442,30.84304991484345,133.23797290985522,211.42008776107906,221.92764948252562,10832990
DFEN,74.88,2026-06-26,0.12033694344162213,-3.0151059671354874,6.062623406865166,22.248071507285413,11.65553789399284,69.8467568523912,167100
DFLI,1.93,2026-06-26,6.043956043956037,-2.5252525252525277,-11.059907834101383,12.209302325581394,-54.04761904761906,10.285714285714283,303500
DKNG,25.7,2026-06-26,11.255411255411245,-2.614626752557792,2.512963701635417,24.03474903474904,-26.318807339449553,-39.14278948614729,16713600
DLR,193.0,2026-06-26,0.29099979214300675,2.577730534148283,1.3440957612438083,10.755189712736625,26.191628198925077,17.08934098721481,3311700
DNA,10.25,2026-06-26,7.1055381400208955,11.77753544165758,17.680826636050504,72.84991568296797,22.02380952380952,6.659729448491161,2527500
DOCS,20.88,2026-06-26,5.188916876574295,2.0527859237536568,3.06021717670285,-11.861544955677509,-52.20874341954681,-65.43618606191029,9846900
DRIV,37.051,2026-06-26,-2.5281490055771823,-7.642645262606863,-10.426941301614919,25.10044906641456,22.22849018074814,59.521749051721564,120400
DTCR,30.68,2026-06-26,-1.2552301255230145,-3.8847117794486277,-1.8554062699936078,31.22326775021386,46.406176928142614,68.51587388772933,3017400
DXCM,70.14,2026-06-26,2.1704297159504655,-3.2151234993790507,-0.17079419299744455,12.674698795180724,3.8034630753293,-17.52116650987771,6872400
EBAY,107.87,2026-06-26,-0.12037037037036614,-0.3418329637841744,-1.985281891128881,22.947269560777237,27.368454611040338,48.283067110219136,5497200
EBIZ,27.6,2026-06-26,2.116323812342766,0.38553866298102,-0.8050603795284652,6.625458759899555,-16.669182693759247,-8.29132788176227,1300
EFRA,35.7846,2026-06-26,-0.04525038546626019,2.5023631520151133,3.5553883551336964,7.793381409387469,7.831710139337533,12.348946510817454,266
EH,6.13,2026-06-26,-2.8526148969889022,-12.8022759601707,-35.811518324607334,-34.71778487752929,-53.20610687022901,-64.42251886244922,1069200
EL,80.54,2026-06-26,-1.1779141104294402,-5.03478363400542,-11.347107883767174,20.260828924715284,-24.65855940130963,3.4091375980936047,5107900
ELAN,24.57,2026-06-26,0.8206811653672519,1.445086705202318,3.7146475306036257,6.2256809338521455,8.71681415929203,71.81818181818181,6057300
EMR,143.49,2026-06-26,-1.2728773909453655,-4.759060135404213,2.698253650157465,14.888322369474572,6.56809730382492,9.864784159992661,5831700
ENPH,47.58,2026-06-26,0.7837322601143771,-8.990053557765881,-32.29937393284007,25.739957716701888,44.18181818181818,10.65116279069767,8115900
ENVX,5.95,2026-06-26,-1.6528925619834651,-15.960451977401128,-20.666666666666664,13.766730401529632,-22.018348623853207,-43.494776828110155,8166200
EQIX,1091.3,2026-06-26,0.3392760272524209,-0.08147850479116545,1.9696884752667607,13.883437749964648,44.461535610370824,49.708279431676466,762300
EQNR,31.03,2026-06-26,-1.6793409378960633,-4.169240271772703,-14.986301369863012,-24.518479958355023,37.87189421675613,30.01596393240679,2493800
ERTH,46.67,2026-06-26,-0.5963791267305668,-3.047350369467073,-6.64319577523954,2.438371258431358,-1.4968593813318833,11.506399611985442,3600
ETN,402.68,2026-06-26,-4.094124371829375,-4.526163548853635,-0.908039471417673,12.993272259124652,25.726153775062972,17.001951388461116,5272600
ETSY,78.04,2026-06-26,0.43758043758044196,5.530764029749835,22.300579846419062,64.95455506235469,39.98206278026907,54.13786292711832,3773652
EVEX,2.43,2026-06-26,0.0,-14.134275618374556,-25.230769230769223,0.0,-42.8235294117647,-59.02192242833052,4366101
EVTL,1.67,2026-06-26,-1.764705882352943,-22.325581395348838,-39.492753623188406,-18.932038834951463,-69.63636363636364,-73.06451612903227,2297541
EVX,41.25,2026-06-26,0.02424830261881186,3.228228228228226,4.855109303507871,9.329446064139951,6.177606177606173,7.9294808395736185,5400
EXPE,262.8,2026-06-26,4.722056186491342,9.090909090909092,16.24203821656051,16.628116074265662,-8.21766244216456,58.794515184272335,2154200
FAN,24.35,2026-06-26,-0.8550488599348425,-1.5437614730832303,-6.336427244367676,3.458092037338387,19.291404160257116,34.30333248761762,33319
FAST,47.1,2026-06-26,0.3836317135549866,2.6367400305077378,5.087014725568944,5.341554895027478,14.564254493180883,16.432277697162366,14683000
FCX,62.45,2026-06-26,-0.5573248407643222,-9.071054164239959,-1.8544711614018539,11.286540120178778,18.294662628168346,42.09684428961817,24657100
FINX,24.9,2026-06-26,3.8105561577586835,-0.2803364036844225,-0.2803364036844225,11.859838274932601,-17.313382281154432,-25.97657411261074,55200
FIVN,21.32,2026-06-26,9.27729369554074,9.925238463521529,-4.565801253357205,47.74774774774775,6.653326663331676,-19.999999999999996,4977900
FIW,109.43,2026-06-26,0.0914662032379114,3.359490409282056,6.1107496404956585,8.408896602897313,-0.8447631120409759,2.1971977253815824,27338
FLUT,104.19,2026-06-26,8.316872855806217,2.31758813709123,8.814621409921669,3.671641791044774,-52.78042148198505,-61.59035611590357,6964500
FRPT,57.43,2026-06-26,7.587111277632067,4.399200145428107,9.745843684311106,2.6819238333631326,-10.503350475299987,-15.865807207735136,2403000
FRSH,9.85,2026-06-26,7.415485278080696,11.173814898419868,9.688195991091304,25.158831003811937,-20.564516129032263,-33.53576248313091,44262500
FSLR,239.07,2026-06-26,-3.8489382239382213,-7.229336437718276,-12.642964153907998,25.63455778023018,-11.353776558270608,53.61434170789694,1832300
FTI,64.44,2026-06-26,-3.863941518722965,-1.120147307043124,-4.405874499332442,-9.419958814475372,44.53421136446216,85.18146001385126,11054400
FTNT,151.35,2026-06-26,0.9471086507036532,4.574034408899333,18.30688657859766,93.54219948849104,85.5689063266307,45.72501444251877,9197400
FTXL,265.47,2026-06-26,-6.094800141492735,-8.193235826183056,2.543323173122363,82.8422894854836,101.72369772828131,175.5948018296165,1055998
GCT,32.03,2026-06-26,0.9454774661203931,-5.738669805768087,-16.501564129301354,-22.986294782399618,-20.303558099029605,58.40751730959447,1489600
GD,346.71,2026-06-26,0.583115752828544,-0.9428302048512933,1.1730718725378568,0.44999837754898764,2.204360967019329,21.171813320406844,1783300
GERN,1.32,2026-06-26,-3.6496350364963535,4.761904761904765,4.761904761904765,-5.714285714285704,-3.6496350364963535,-13.72549019607843,36632400
GEV,1045.17,2026-06-26,-3.712677457691134,-5.817631315725442,1.338713915469143,22.568337738234984,57.82516359805797,106.78345162588452,3648300
GFL,37.32,2026-06-26,-1.2175754367390177,6.324786324786322,7.026096931459716,-4.17156678974749,-13.585506816834611,-26.07734543985168,18445000
GILT,11.81,2026-06-26,-0.25337837837837296,-10.462471569370727,-32.243258749282845,-23.261858349577647,-6.1953931691818855,70.41847041847043,834100
GLBE,36.41,2026-06-26,6.058840664142145,10.870889159561488,24.012261580381463,25.85551330798478,-8.055555555555568,12.168823166974725,2716800
GLUX,0.0001,2026-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0
GNR,67.27,2026-06-26,-0.6791672818544336,-3.2225579053373745,-7.24066132568498,-6.783324926695973,8.576879435600365,26.62969614143673,182300
GOOGL,337.39,2026-06-26,-1.8387594192778776,-8.325408254761838,-13.177605952065102,23.05590346645697,7.757078834272749,94.9709413029923,114642600
GOOS,9.67,2026-06-26,4.202586206896558,-1.2257405515832405,-4.916420845624385,-8.428030303030308,-24.570982839313572,-16.566005176876615,558400
GPCR,49.71,2026-06-26,3.025906735751297,11.682767917321957,25.72078907435509,8.253484320557488,-27.260755048287976,135.8159392789374,885700
GRID,185.11,2026-06-26,-2.7017082785808078,-4.532181386276676,-4.2962014727558735,16.524643536316145,20.10295465855556,36.232903731004974,615800
GSAT,80.25,2026-06-26,0.3752345215759814,-0.19898022634000323,-4.804270462633449,25.077930174563594,27.603752583876606,242.80222127296028,6788300
GUNR,49.31,2026-06-26,-0.16197610852398925,-2.7032359905288033,-7.827123985696476,-8.2698514570602,7.647067812631675,25.758735016577404,403400
GWRE,121.48,2026-06-26,10.33605812897367,12.627480066753202,-8.846702183537184,-16.035388443461436,-40.8741360848827,-48.27777068165368,3253430
HACK,98.65,2026-06-26,2.4722135660122673,2.7604166666666723,7.473581000108943,35.76933663638867,20.39355818188032,15.316861277264298,267200
HAIL,37.5859,2026-06-26,-0.5393003913764891,-7.281388143353321,-11.359863027913244,19.439757217535007,10.994988586261597,25.475382910251458,1191
HEAL,27.63,2026-06-26,2.2954461310625596,5.6515754053227205,13.052373158756128,17.833199706589788,-6.9208068884666725,-13.811658353531284,5700
HERO,23.91,2026-06-26,1.3565069944891917,-3.1748602899489713,-6.510263929618764,-5.051227066952579,-19.876144806023866,-25.031276161450837,9200
HIMS,33.94,2026-06-26,3.760317945582381,-4.313504369890051,34.68253968253968,75.12899896800825,-1.0784027980180837,-26.663785652549706,21381500
