ticker,mcap
FAST,54.07244962133752
FCX,89.77561466602113
FINX,1.0
FIVN,1.6323442007945252
FIW,1.0
FLUT,18.066595913591005
FRPT,2.8222705021271897
FRSH,2.722876650401266
FSLR,25.688876279421937
FTI,25.692351216073302
FTNT,110.8863384495809
FTXL,1.0
GCT,1.1662729203718871
GD,93.76084782396518
GERN,0.8468077193291143
GEV,280.85808898313417
GFL,13.471448395320305
GILT,0.8913119275488701
GLBE,6.11569268068021
GLUX,8.974989773272682e-07
GNR,1.0
GOOGL,4117.02632674194
GOOS,0.9393674215513802
GPCR,3.533114125289337
GRID,1.0
GSAT,10.33531171275
GUNR,1.0
GWRE,10.113983378206084
HACK,1.0
HAIL,1.0
HEAL,1.0
HERO,1.0
HIMS,7.855673850441227
HLX,1.3072822880234174
HON,73.57029739252144
HOOD,88.87084627382868
HRTS,1.0
HTEC,1.0
HUBB,27.320256576605956
HUBS,9.494340675248658
HYDR,1.0
IAK,1.0
IBB,1.0
IBLC,1.0
IBUY,1.0
ICE,70.04437797586144
ICLN,1.0
IDGT,1.0
IDNA,1.0
IDRV,1.0
IDU,1.0
IDXX,43.5039728455
IFRA,1.0
IGV,1.0
IHAK,1.0
IIPR,1.8246781395086822
INTU,73.23132597390747
IONQ,18.405941648488266
IOT,18.14559159782199
IPAY,1.0
IRDM,4.601271467278321
IRM,39.404169478018616
ISRG,143.3297064806769
ITRI,3.718741154671654
IXP,1.0
JCI,84.43999573134988
JOBY,8.685566308114007
KARS,1.0
KEYS,56.16647227271753
KIE,1.0
KO,355.51411038221914
KOMP,1.0
KOPN,0.7078508886898048
KRBN,1.0
KTOS,8.852818272960327
LCTX,0.31910181046751857
LIN,240.24490696464477
LIT,1.0
LITE,63.56104248046875
LLY,1077.330623062514
LMT,116.98797329195142
LOUP,1.0
LRCX,474.06682493038943
LRNZ,1.0
LSCC,19.011209484713362
LUXE,1.02946206
LZAGY,46.91850991298193
LZM,0.36118883939935875
MARS,1.0
MEG,0.80079895134
MELI,84.92284833047583
META,1396.767423026
METV,1.0
MGM,12.585321898291797
MGTX,1.1215012069650458
MJ,1.0
MNDY,3.764287655205162
MOD,13.520313092275773
MOO,1.0
MORN,5.881032751595398
MP,9.595396743840316
MRSH,81.43772391590194
MSFT,2770.5833006187936
MSOS,1.0
MSTR,29.447926501601685
MU,1278.845697040295
MVST,0.3698047010058546
NEE,184.70120541267005
NEM,102.62384427119876
NET,84.20586411310126
NICE,5.390355198942902
NLR,1.0
NOW,101.41882494323731
NTLA,2.330567622999855
NTRA,37.50954122409039
NU,64.02913264659142
NUE,54.60772471299591
NUKZ,1.0
